POI_METHOD,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
backdoor_all2all,1e-43,0.6204595789473685,232,252,2268,0.0928,0.4793388429752066,0.15549597855227884,0.0053052631578947365
backdoor_all2all,1e-44,0.6204595789473685,223,234,2277,0.0892,0.487964989059081,0.15082854244166385,0.004926315789473684
backdoor_all2all,1e-45,0.6204595789473685,220,214,2280,0.088,0.5069124423963134,0.1499659168370825,0.004505263157894737
backdoor_all2all,1e-46,0.6204595789473685,212,199,2288,0.0848,0.5158150851581509,0.1456544142906218,0.004189473684210526
backdoor_all2all,1e-47,0.6204595789473685,204,168,2296,0.0816,0.5483870967741935,0.14206128133704737,0.003536842105263158
backdoor_all2all,1e-48,0.6204595789473685,198,156,2302,0.0792,0.559322033898305,0.13875262789067974,0.0032842105263157896
backdoor_all2all,1e-49,0.6204595789473685,193,137,2307,0.0772,0.5848484848484848,0.1363957597173145,0.0028842105263157895
backdoor_all2all,1e-50,0.6204595789473685,185,127,2315,0.074,0.592948717948718,0.13157894736842105,0.002673684210526316
backdoor_all2all,1e-51,0.6204595789473685,179,120,2321,0.0716,0.5986622073578596,0.1279028224365845,0.0025263157894736842
backdoor_all2all,1e-52,0.6204595789473685,175,113,2325,0.07,0.6076388888888888,0.12553802008608322,0.0023789473684210525
backdoor_all2all,1e-53,0.6204595789473685,166,102,2334,0.0664,0.6194029850746269,0.1199421965317919,0.0021473684210526318
backdoor_all2all,1e-54,0.6204595789473685,160,95,2340,0.064,0.6274509803921569,0.1161524500907441,0.002
backdoor_all2all,1e-55,0.6204595789473685,157,89,2343,0.0628,0.6382113821138211,0.1143481427530954,0.0018736842105263158
backdoor_all2all,1e-56,0.6204595789473685,152,83,2348,0.0608,0.6468085106382979,0.11115173674588667,0.0017473684210526316
backdoor_all2all,1e-57,0.6204595789473685,152,79,2348,0.0608,0.658008658008658,0.11131453679970707,0.001663157894736842
backdoor_all2all,1e-58,0.6204595789473685,147,79,2353,0.0588,0.6504424778761062,0.1078503301540719,0.001663157894736842
backdoor_all2all,1e-59,0.6204595789473685,143,73,2357,0.0572,0.6620370370370371,0.1053019145802651,0.0015368421052631579
backdoor_all2all,1e-60,0.6204595789473685,141,65,2359,0.0564,0.6844660194174758,0.10421286031042128,0.0013684210526315789
backdoor_all2all,1e-61,0.6204595789473685,136,61,2364,0.0544,0.6903553299492385,0.10085279940674824,0.0012842105263157894
backdoor_all2all,1e-62,0.6204595789473685,134,52,2366,0.0536,0.7204301075268817,0.09977661950856292,0.0010947368421052631
backdoor_all2all,1e-63,0.6204595789473685,132,50,2368,0.0528,0.7252747252747253,0.09843400447427293,0.0010526315789473684
backdoor_all2all,1e-64,0.6204595789473685,128,49,2372,0.0512,0.7231638418079096,0.09562943593574898,0.0010315789473684211
backdoor_all2all,1e-65,0.6204595789473685,125,46,2375,0.05,0.7309941520467836,0.0935979034069637,0.0009684210526315789
backdoor_all2all,1e-66,0.6204595789473685,122,42,2378,0.0488,0.7439024390243902,0.0915915915915916,0.0008842105263157895
backdoor_all2all,1e-67,0.6204595789473685,116,38,2384,0.0464,0.7532467532467533,0.08741522230595328,0.0008
backdoor_all2all,1e-68,0.6204595789473685,114,37,2386,0.0456,0.7549668874172185,0.08600528102602793,0.0007789473684210527
backdoor_all2all,1e-69,0.6204595789473685,112,37,2388,0.0448,0.7516778523489933,0.0845602114005285,0.0007789473684210527
backdoor_all2all,1e-70,0.6204595789473685,108,36,2392,0.0432,0.75,0.08169440242057488,0.0007578947368421053
backdoor_all2all,1e-71,0.6204595789473685,106,35,2394,0.0424,0.75177304964539,0.08027262400605831,0.0007368421052631579
backdoor_all2all,1e-72,0.6204595789473685,102,34,2398,0.0408,0.75,0.07738998482549318,0.0007157894736842105
backdoor_all2all,1e-73,0.6204595789473685,101,34,2399,0.0404,0.7481481481481481,0.07666034155597723,0.0007157894736842105
backdoor_all2all,1e-74,0.6204595789473685,97,34,2403,0.0388,0.7404580152671756,0.07373622196883314,0.0007157894736842105
backdoor_all2all,1e-75,0.6204595789473685,97,34,2403,0.0388,0.7404580152671756,0.07373622196883314,0.0007157894736842105
backdoor_all2all,1e-76,0.6204595789473685,96,33,2404,0.0384,0.7441860465116279,0.07303157093952073,0.0006947368421052632
backdoor_all2all,1e-77,0.6204595789473685,95,31,2405,0.038,0.753968253968254,0.07235338918507235,0.0006526315789473684
backdoor_all2all,1e-78,0.6204595789473685,93,31,2407,0.0372,0.75,0.07088414634146341,0.0006526315789473684
backdoor_all2all,1e-79,0.6204595789473685,89,27,2411,0.0356,0.7672413793103449,0.06804281345565749,0.0005684210526315789
backdoor_all2all,1e-80,0.6204595789473685,88,26,2412,0.0352,0.7719298245614035,0.06732976281560826,0.0005473684210526316
backdoor_all2all,1e-81,0.6204595789473685,87,26,2413,0.0348,0.7699115044247787,0.06659012629161883,0.0005473684210526316
backdoor_all2all,1e-82,0.6204595789473685,84,25,2416,0.0336,0.7706422018348624,0.06439248754311996,0.0005263157894736842
backdoor_all2all,1e-83,0.6204595789473685,84,25,2416,0.0336,0.7706422018348624,0.06439248754311996,0.0005263157894736842
backdoor_all2all,1e-84,0.6204595789473685,83,25,2417,0.0332,0.7685185185185185,0.06365030674846625,0.0005263157894736842
backdoor_all2all,1e-85,0.6204595789473685,81,24,2419,0.0324,0.7714285714285715,0.06218809980806142,0.0005052631578947368
backdoor_all2all,1e-86,0.6204595789473685,80,23,2420,0.032,0.7766990291262136,0.061467537456780644,0.00048421052631578945
backdoor_all2all,1e-87,0.6204595789473685,79,21,2421,0.0316,0.79,0.06076923076923078,0.00044210526315789476
backdoor_all2all,1e-88,0.6204595789473685,76,20,2424,0.0304,0.7916666666666666,0.058551617873651776,0.0004210526315789474
backdoor_all2all,1e-89,0.6204595789473685,75,18,2425,0.03,0.8064516129032258,0.057848052448900886,0.00037894736842105265
backdoor_all2all,1e-90,0.6204595789473685,74,18,2426,0.0296,0.8043478260869565,0.05709876543209877,0.00037894736842105265
backdoor_all2all,1e-91,0.6204595789473685,71,17,2429,0.0284,0.8068181818181818,0.054868624420401864,0.0003578947368421053
backdoor_all2all,1e-92,0.6204595789473685,70,16,2430,0.028,0.813953488372093,0.054137664346481054,0.0003368421052631579
backdoor_all2all,1e-93,0.6204595789473685,69,15,2431,0.0276,0.8214285714285714,0.05340557275541796,0.00031578947368421053
backdoor_all2all,1e-94,0.6204595789473685,66,15,2434,0.0264,0.8148148148148148,0.05114296784192174,0.00031578947368421053
backdoor_all2all,1e-95,0.6204595789473685,66,15,2434,0.0264,0.8148148148148148,0.05114296784192174,0.00031578947368421053
backdoor_all2all,1e-96,0.6204595789473685,64,15,2436,0.0256,0.810126582278481,0.04963164017060877,0.00031578947368421053
backdoor_all2all,1e-97,0.6204595789473685,63,15,2437,0.0252,0.8076923076923077,0.048875096974398756,0.00031578947368421053
backdoor_all2all,1e-98,0.6204595789473685,60,15,2440,0.024,0.8,0.04660194174757282,0.00031578947368421053
backdoor_all2all,1e-99,0.6204595789473685,59,15,2441,0.0236,0.7972972972972973,0.04584304584304585,0.00031578947368421053
backdoor_all2all,1e-100,0.6204595789473685,56,14,2444,0.0224,0.8,0.043579766536964985,0.00029473684210526316
badnets,1.0,0.9057742947368421,2494,36607,6,0.9976,0.0637835349479553,0.11990096391913656,0.7706736842105263
badnets,0.1,0.9057742947368421,2469,28271,31,0.9876,0.08031880286271958,0.14855595667870036,0.595178947368421
badnets,0.01,0.9057742947368421,2449,24613,51,0.9796,0.09049589830758997,0.1656856775590285,0.5181684210526316
badnets,0.001,0.9057742947368421,2419,21836,81,0.9676,0.0997320140177283,0.1808260138291908,0.45970526315789473
badnets,0.0001,0.9057742947368421,2392,19548,108,0.9568,0.109024612579763,0.19574468085106383,0.41153684210526315
badnets,1e-05,0.9057742947368421,2364,17587,136,0.9456,0.11849030123803318,0.21059195581488577,0.3702526315789474
badnets,1e-06,0.9057742947368421,2340,15897,160,0.936,0.1283105773975983,0.22568356078507018,0.3346736842105263
badnets,1e-07,0.9057742947368421,2311,14436,189,0.9244,0.13799486475189587,0.24014132072530786,0.3039157894736842
badnets,1e-08,0.9057742947368421,2275,13150,225,0.91,0.14748784440842788,0.25383542538354253,0.2768421052631579
badnets,1e-09,0.9057742947368421,2246,11997,254,0.8984,0.1576914975777575,0.2682912261840769,0.25256842105263155
badnets,1e-10,0.9057742947368421,2202,10977,298,0.8808,0.16708399726838152,0.28088526053957524,0.23109473684210527
badnets,1e-11,0.9057742947368421,2163,10045,337,0.8652,0.1771788990825688,0.29412564590698936,0.2114736842105263
badnets,1e-12,0.9057742947368421,2114,9227,386,0.8456,0.18640331540428534,0.30546925800158947,0.19425263157894737
badnets,1e-13,0.9057742947368421,2076,8472,424,0.8304,0.19681456200227532,0.3182096873083998,0.1783578947368421
badnets,1e-14,0.9057742947368421,2026,7766,474,0.8104,0.20690359477124182,0.32964529775463713,0.16349473684210528
badnets,1e-15,0.9057742947368421,1979,7119,521,0.7916,0.2175203341393713,0.3412657354716331,0.14987368421052633
badnets,1e-16,0.9057742947368421,1944,6585,556,0.7776,0.2279282448118185,0.3525251609393418,0.1386315789473684
badnets,1e-17,0.9057742947368421,1898,6058,602,0.7592,0.238562091503268,0.3630451415455241,0.12753684210526317
badnets,1e-18,0.9057742947368421,1849,5568,651,0.7396,0.24929216664419576,0.3728950287385298,0.11722105263157895
badnets,1e-19,0.9057742947368421,1808,5147,692,0.7232,0.2599568655643422,0.38244315177154947,0.10835789473684211
badnets,1e-20,0.9057742947368421,1763,4761,737,0.7052,0.2702329858982219,0.3907358156028369,0.10023157894736842
badnets,1e-21,0.9057742947368421,1727,4406,773,0.6908,0.2815913908364585,0.4000926676705664,0.09275789473684211
badnets,1e-22,0.9057742947368421,1685,4073,815,0.674,0.292636332059743,0.4080891256962945,0.08574736842105263
badnets,1e-23,0.9057742947368421,1636,3778,864,0.6544,0.3021795345400813,0.41344452868334597,0.07953684210526316
badnets,1e-24,0.9057742947368421,1591,3484,909,0.6364,0.3134975369458128,0.42006600660066007,0.07334736842105263
badnets,1e-25,0.9057742947368421,1534,3231,966,0.6136,0.32193074501573976,0.4222986923606332,0.06802105263157894
badnets,1e-26,0.9057742947368421,1503,2981,997,0.6012,0.33519179304192687,0.43041237113402064,0.06275789473684211
badnets,1e-27,0.9057742947368421,1455,2751,1045,0.582,0.3459343794579173,0.43393975544288693,0.05791578947368421
badnets,1e-28,0.9057742947368421,1407,2531,1093,0.5628,0.35728796343321484,0.43709226467847156,0.05328421052631579
