POI_METHOD,Threshold,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
low_frequency,1.2,9.999999999999999e-51,0.6686556210526315,350,2328,2150,0.14,0.1306945481702763,0.1351873310158362,0.0490105263157894
low_frequency,1.3,9.999999999999999e-51,0.7637744884210526,612,2215,1888,0.2448,0.2164839051998585,0.2297728552656279,0.0466315789473684
low_frequency,1.4,9.999999999999999e-51,0.7055037642105263,487,2043,2013,0.1948,0.1924901185770751,0.1936381709741551,0.0430105263157894
low_frequency,1.5,9.999999999999999e-51,0.3477589305263158,21,793,2479,0.0084,0.0257985257985257,0.0126735063367531,0.0166947368421052
low_frequency,1.6,9.999999999999999e-51,0.9551672463157896,2303,4338,197,0.9212,0.3467851227224816,0.5038836013565255,0.0913263157894736
low_frequency,1.7,9.999999999999999e-51,0.9116237810526316,1171,2119,1329,0.4684,0.3559270516717325,0.4044905008635578,0.0446105263157894
low_frequency,1.8,9.999999999999999e-51,0.835954412631579,521,1343,1979,0.2084,0.2795064377682403,0.2387717690192484,0.0282736842105263
low_frequency,1.9,9.999999999999999e-51,0.9361661810526316,1704,3399,796,0.6816,0.3339212228101117,0.4482441141654609,0.0715578947368421
low_frequency,2.0,9.999999999999999e-51,0.6247361052631579,106,954,2394,0.0424,0.1,0.0595505617977528,0.0200842105263157
ssba,1.0,9.999999999999999e-51,0.281555187368421,6,452,2494,0.0024,0.0131004366812227,0.0040567951318458,0.0095157894736842
ssba,1.1,9.999999999999999e-51,0.40759512,21,1317,2479,0.0084,0.0156950672645739,0.0109431995831162,0.0277263157894736
ssba,1.2,9.999999999999999e-51,0.5035378694736842,24,624,2476,0.0096,0.037037037037037,0.0152477763659466,0.0131368421052631
ssba,1.3,9.999999999999999e-51,0.7134804084210526,280,1825,2220,0.112,0.1330166270783848,0.1216069489685125,0.0384210526315789
ssba,1.4,9.999999999999999e-51,0.4703050652631578,37,1668,2463,0.0148,0.0217008797653958,0.0175980975029726,0.0351157894736842
ssba,1.5,9.999999999999999e-51,0.3737182568421053,16,1034,2484,0.0064,0.0152380952380952,0.0090140845070422,0.0217684210526315
ssba,1.6,9.999999999999999e-51,0.4762444042105264,100,1675,2400,0.04,0.056338028169014,0.0467836257309941,0.0352631578947368
ssba,1.7,9.999999999999999e-51,0.3715383242105263,16,1585,2484,0.0064,0.0099937539038101,0.0078029748841745,0.0333684210526315
ssba,1.8,9.999999999999999e-51,0.7087032463157896,97,1400,2403,0.0388,0.0647962591850367,0.0485364023017262,0.0294736842105263
ssba,1.9,9.999999999999999e-51,0.5726304631578947,73,848,2427,0.0292,0.0792616720955483,0.0426775796550716,0.0178526315789473
ssba,2.0,9.999999999999999e-51,0.4620215284210526,40,1003,2460,0.016,0.0383509108341323,0.0225797346881174,0.0211157894736842
blended,1.0,1e-50,0.7910333136842106,752,1386,1748,0.3008,0.3517305893358279,0.32427770590771887,0.029178947368421054
blended,1.1,1e-50,0.86436048,820,2765,1680,0.328,0.22873082287308227,0.2695152013147083,0.058210526315789476
blended,1.2,1e-50,0.8720275705263159,951,1773,1549,0.3804,0.3491189427312775,0.3640888208269525,0.03732631578947369
blended,1.3,1e-50,0.9564048378947368,1750,2390,750,0.7,0.4227053140096618,0.5271084337349398,0.05031578947368421
blended,1.4,1e-50,0.41902376842105266,34,1188,2466,0.0136,0.027823240589198037,0.01826974744760881,0.025010526315789473
blended,1.5,1e-50,0.6775902021052631,134,899,2366,0.0536,0.12971926427879962,0.07585621285026889,0.018926315789473683
blended,1.6,1e-50,0.34060768842105266,15,678,2485,0.006,0.021645021645021644,0.009395552771688067,0.014273684210526315
blended,1.7,1e-50,0.6622995789473685,243,1133,2257,0.0972,0.17659883720930233,0.12538699690402477,0.02385263157894737
blended,1.8,1e-50,0.5739666863157895,5,1277,2495,0.002,0.0039001560062402497,0.002644103648863036,0.026884210526315788
blended,1.9,1e-50,0.5506790063157895,90,979,2410,0.036,0.08419083255378859,0.050434295320818154,0.020610526315789475
blended,2.0,1e-50,0.3299143410526316,9,892,2491,0.0036,0.009988901220865706,0.0052925610114672155,0.01877894736842105
